11:20	18/01/2019
Fry Edward, Lam Yik Yau
6
Time / sec	Conductance / µS
363.065	2583.000
364.066	2586.000
365.066	2587.000
366.067	2589.000
367.068	2590.000
368.069	2592.000
369.069	2594.000
370.069	2595.000
371.069	2596.000
372.070	2598.000
373.071	2600.000
374.071	2601.000
375.070	2602.000
376.071	2605.000
377.071	2606.000
378.072	2608.000
379.072	2609.000
380.072	2611.000
381.073	2612.000
382.073	2614.000
383.074	2615.000
384.075	2617.000
385.075	2617.000
386.075	2619.000
387.076	2620.000
388.077	2621.000
389.077	2623.000
390.077	2624.000
391.077	2625.000
392.077	2626.000
393.077	2628.000
394.077	2628.000
395.077	2630.000
396.078	2631.000
397.077	2632.000
398.078	2634.000
399.077	2635.000
400.077	2637.000
401.077	2638.000
402.077	2639.000
403.079	2640.000
404.080	2642.000
405.079	2643.000
406.079	2643.000
407.079	2645.000
408.080	2647.000
409.079	2647.000
410.081	2648.000
411.081	2649.000
412.082	2650.000
413.083	2651.000
414.083	2652.000
415.083	2653.000
416.084	2654.000
417.083	2654.000
418.084	2656.000
419.084	2657.000
420.083	2658.000
421.084	2659.000
422.083	2659.000
423.083	2660.000
424.084	2661.000
425.083	2662.000
426.084	2663.000
427.084	2664.000
428.085	2665.000
429.084	2666.000
430.085	2667.000
431.086	2667.000
432.085	2669.000
433.085	2670.000
434.086	2671.000
435.087	2671.000
436.087	2672.000
437.087	2673.000
438.087	2674.000
439.087	2675.000
440.087	2676.000
441.087	2677.000
442.089	2678.000
443.088	2678.000
444.089	2679.000
445.089	2679.000
446.089	2680.000
447.090	2681.000
448.089	2682.000
449.090	2682.000
450.090	2683.000
451.089	2684.000
452.089	2684.000
453.090	2685.000
454.091	2685.000
455.091	2686.000
456.092	2687.000
457.092	2688.000
458.091	2688.000
459.093	2688.000
460.094	2689.000
461.094	2690.000
462.095	2690.000
463.095	2691.000
464.095	2692.000
465.095	2693.000
466.096	2694.000
467.096	2693.000
468.096	2694.000
469.097	2695.000
470.097	2696.000
471.098	2697.000
472.099	2697.000
473.100	2699.000
474.099	2699.000
475.100	2699.000
476.099	2699.000
477.101	2699.000
478.100	2699.000
479.100	2700.000
480.102	2701.000
481.102	2702.000
482.103	2702.000
483.102	2703.000
484.102	2704.000
485.102	2704.000
486.102	2705.000
487.102	2706.000
488.102	2706.000
489.103	2706.000
490.103	2707.000
491.103	2706.000
492.103	2707.000
493.103	2708.000
494.104	2708.000
495.103	2708.000
496.104	2709.000
497.103	2709.000
498.104	2710.000
499.104	2710.000
500.105	2710.000
501.105	2711.000
502.105	2711.000
503.105	2712.000
504.106	2712.000
505.106	2713.000
506.106	2713.000
507.106	2713.000
508.107	2714.000
509.106	2713.000
510.106	2714.000
511.107	2714.000
512.106	2715.000
513.106	2715.000
514.107	2715.000
515.108	2716.000
516.108	2716.000
517.107	2716.000
518.108	2717.000
519.108	2717.000
520.109	2718.000
521.108	2718.000
522.108	2718.000
523.108	2719.000
524.109	2720.000
525.108	2720.000
526.108	2720.000
527.108	2720.000
528.108	2720.000
529.108	2721.000
530.108	2721.000
